parent_name,utility_name,respondent_id,year,FERC_class,original_cost,accum_depr,net_plant_balance,ARC,ARC_accum_depr,net_ARC
Southern Co.,Alabama Power Co.,2,2017,transmission,4117734320.0,1291708963.753762,2826025356.2462378,1366847.0,203592.24623788332,1163254.7537621167
Southern Co.,Alabama Power Co.,2,2016,distribution,6712477663.0,2483023198.4071107,4229454464.5928893,-4879225.0,265571.5928895322,-5144796.592889532
Southern Co.,Alabama Power Co.,2,2016,general,1472052719.0,761581748.2403606,710470970.7596394,7671942.0,1167931.7596393428,6504010.240360657
Southern Co.,Alabama Power Co.,2,2016,hydro,1081289801.0,466450326.7583463,614839474.2416537,169377.0,12194.24165368756,157182.75834631245
Southern Co.,Alabama Power Co.,2,2016,intangible,296066451.0,,296066451.0,,,
Southern Co.,Alabama Power Co.,2,2016,nuclear,2730691771.0,1540786964.4657805,1189904806.5342195,130350963.0,53965960.53421943,76385002.46578057
Southern Co.,Alabama Power Co.,2,2016,other_fossil,882585641.0,159911913.0,722673728.0,,-0.0,
Southern Co.,Alabama Power Co.,2,2016,steam,8098453917.0,3054919221.5536194,5043534695.446381,635353402.0,25578117.44638056,609775284.5536194
Southern Co.,Alabama Power Co.,2,2016,transmission,3919362710.0,1248092933.5169156,2671269776.4830847,1366847.0,146656.48308434096,1220190.516915659
Southern Co.,Alabama Power Co.,2,2015,distribution,6437401945.0,2369646643.74976,4067755301.25024,-5020741.0,543437.2502404498,-5564178.25024045
Southern Co.,Alabama Power Co.,2,2015,general,1353873553.0,705712546.2716627,648161006.7283373,7681864.0,820755.7283373206,6861108.2716626795
Southern Co.,Alabama Power Co.,2,2015,hydro,1070441412.0,450127490.5484591,620313921.451541,285067.0,8361.451540904292,276705.5484590957
Southern Co.,Alabama Power Co.,2,2015,intangible,290785071.0,,290785071.0,,,
Southern Co.,Alabama Power Co.,2,2015,nuclear,2652248615.0,1517672387.012541,1134576227.987459,130650047.0,48479088.98745887,82170958.01254113
Southern Co.,Alabama Power Co.,2,2015,other_fossil,897423184.0,179687702.0,717735482.0,,-0.0,
Southern Co.,Alabama Power Co.,2,2015,steam,7455867135.0,2989152438.9591026,4466714696.040897,455031155.0,4353384.040897568,450677770.95910245
Southern Co.,Alabama Power Co.,2,2015,transmission,3771082754.0,1191086601.280069,2579996152.7199306,1366847.0,89720.71993079859,1277126.2800692015
Southern Co.,Alabama Power Co.,2,2014,distribution,6200760251.0,2257555991.1523485,3943204259.8476515,-5071190.0,819060.8476516461,-5890250.8476516465
Southern Co.,Alabama Power Co.,2,2014,general,1283433666.0,645648841.4481938,637784824.5518062,7667860.0,475352.5518061934,7192507.448193806
Southern Co.,Alabama Power Co.,2,2014,hydro,1060963589.0,433988801.167606,626974787.832394,447835.0,973.8323939993104,446861.1676060007
