parent_name,utility_name,respondent_id,year,percent_AMI,ownership,housing_units,income
Southern Co.,Alabama Power Co.,2.0,2012,30-60%,renter,78945.01321959264,1505038300.0211926
Southern Co.,Alabama Power Co.,2.0,2012,60-80%,owner,82883.79164575366,2509994463.021819
Southern Co.,Alabama Power Co.,2.0,2012,60-80%,renter,45598.91072818176,1352491910.8086927
Southern Co.,Alabama Power Co.,2.0,2012,80-100%,owner,80085.68913737578,3148415084.80394
Southern Co.,Alabama Power Co.,2.0,2012,80-100%,renter,33651.24188572587,1287365558.8286536
Southern Co.,Alabama Power Co.,2.0,2011,0-30%,owner,87554.98311620914,740489843.3234512
Southern Co.,Alabama Power Co.,2.0,2011,0-30%,renter,119950.82900924113,970022207.8438369
Southern Co.,Alabama Power Co.,2.0,2011,100%+,owner,495765.16492448037,47679636388.09991
Southern Co.,Alabama Power Co.,2.0,2011,100%+,renter,105938.52255493175,7485050366.28131
Southern Co.,Alabama Power Co.,2.0,2011,30-60%,owner,103131.92063016068,1995600143.1410582
Southern Co.,Alabama Power Co.,2.0,2011,30-60%,renter,78581.20014614008,1490803492.1095257
Southern Co.,Alabama Power Co.,2.0,2011,60-80%,owner,82501.82696238383,2482712913.1855006
Southern Co.,Alabama Power Co.,2.0,2011,60-80%,renter,45388.77104764287,1340347066.9200587
Southern Co.,Alabama Power Co.,2.0,2011,80-100%,owner,79716.61933148945,3115095966.225201
Southern Co.,Alabama Power Co.,2.0,2011,80-100%,renter,33496.16227731674,1276326196.7591026
Southern Co.,Alabama Power Co.,2.0,2010,0-30%,owner,87566.4957849878,732873116.7583387
Southern Co.,Alabama Power Co.,2.0,2010,0-30%,renter,119966.6014314946,956628020.648575
Southern Co.,Alabama Power Co.,2.0,2010,100%+,owner,495830.3534486819,47012572854.33397
Southern Co.,Alabama Power Co.,2.0,2010,100%+,renter,105952.45248875955,7361021356.349908
Southern Co.,Alabama Power Co.,2.0,2010,30-60%,owner,103145.48152184807,1968260460.2910142
Southern Co.,Alabama Power Co.,2.0,2010,30-60%,renter,78591.53284563158,1465518244.6470015
Southern Co.,Alabama Power Co.,2.0,2010,60-80%,owner,82512.67518796356,2449139062.070979
Southern Co.,Alabama Power Co.,2.0,2010,60-80%,renter,45394.73925035096,1318050001.996796
Southern Co.,Alabama Power Co.,2.0,2010,80-100%,owner,79727.10132808004,3072047973.33957
Southern Co.,Alabama Power Co.,2.0,2010,80-100%,renter,33500.566712198,1255660494.380007
Southern Co.,Alabama Power Co.,2.0,2009,0-30%,owner,87268.87197729993,728799535.1074259
Southern Co.,Alabama Power Co.,2.0,2009,0-30%,renter,119558.85510804785,953143431.576989
Southern Co.,Alabama Power Co.,2.0,2009,100%+,owner,494145.1093785861,46808281176.84394
Southern Co.,Alabama Power Co.,2.0,2009,100%+,renter,105592.3379031423,7345677535.098974
Southern Co.,Alabama Power Co.,2.0,2009,30-60%,owner,102794.9073589658,1960081172.5104463
Southern Co.,Alabama Power Co.,2.0,2009,30-60%,renter,78324.41342914838,1463679456.457918
Southern Co.,Alabama Power Co.,2.0,2009,60-80%,owner,82232.22846742476,2439196208.523027
Southern Co.,Alabama Power Co.,2.0,2009,60-80%,renter,45240.45015811787,1315378881.7477777
Southern Co.,Alabama Power Co.,2.0,2009,80-100%,owner,79456.12230510496,3057996069.887055
Southern Co.,Alabama Power Co.,2.0,2009,80-100%,renter,33386.70391415849,1252973687.38504
Southern Co.,Alabama Power Co.,2.0,2008,0-30%,owner,86149.15833977984,750082319.163823
Southern Co.,Alabama Power Co.,2.0,2008,0-30%,renter,118024.84100293211,982437420.1495384
Southern Co.,Alabama Power Co.,2.0,2008,100%+,owner,487804.9218025531,48504887054.97564
Southern Co.,Alabama Power Co.,2.0,2008,100%+,renter,104237.52285753781,7598344250.929139
